Order ID,Created Time,Order List,Total Item,Due Time
Cust00001,2023-02-15 08:00:28.427159147,"[(252, 4)]",4,2023-02-15 09:47:28.427159147
Cust00002,2023-02-15 08:00:54.275878589,"[(103, 3), (39, 4)]",7,2023-02-15 09:39:54.275878589
Cust00003,2023-02-15 08:00:59.986047465,"[(166, 2), (303, 2), (12, 2), (122, 2)]",8,2023-02-15 09:37:59.986047465
Cust00004,2023-02-15 08:01:00.680641908,"[(208, 3), (138, 3), (190, 1)]",7,2023-02-15 08:44:00.680641908
Cust00005,2023-02-15 08:01:01.264134364,"[(75, 1), (54, 4), (51, 2), (50, 1)]",8,2023-02-15 09:05:01.264134364
Cust00006,2023-02-15 08:01:34.309685291,"[(333, 3), (209, 1), (145, 3), (311, 2), (49, 5)]",14,2023-02-15 09:41:34.309685291
Cust00007,2023-02-15 08:01:57.128280144,"[(62, 4), (90, 3), (231, 2)]",9,2023-02-15 08:52:57.128280144
Cust00008,2023-02-15 08:01:57.635276241,"[(210, 2), (21, 3), (66, 4), (182, 2), (189, 3), (28, 2), (208, 4), (116, 2), (181, 2)]",24,2023-02-15 09:51:57.635276241
Cust00009,2023-02-15 08:01:59.143336763,"[(87, 2)]",2,2023-02-15 08:36:59.143336763
Cust00010,2023-02-15 08:02:02.585378566,"[(165, 4), (368, 1), (38, 3), (189, 2)]",10,2023-02-15 09:19:02.585378566
Cust00011,2023-02-15 08:02:03.475820863,"[(102, 6)]",6,2023-02-15 09:12:03.475820863
Cust00012,2023-02-15 08:02:07.194005489,"[(113, 1), (123, 1), (11, 1), (221, 4)]",7,2023-02-15 09:26:07.194005489
Cust00013,2023-02-15 08:02:15.061801586,"[(17, 1), (93, 4)]",5,2023-02-15 09:31:15.061801586
Cust00014,2023-02-15 08:02:16.957480281,"[(2, 1), (47, 1), (99, 4), (36, 1)]",7,2023-02-15 09:32:16.957480281
Cust00015,2023-02-15 08:02:28.493486303,"[(46, 5), (24, 2)]",7,2023-02-15 08:55:28.493486303
Cust00016,2023-02-15 08:02:42.728444844,"[(223, 4)]",4,2023-02-15 08:49:42.728444844
Cust00017,2023-02-15 08:02:47.660324603,"[(23, 1), (18, 4)]",5,2023-02-15 09:56:47.660324603
Cust00018,2023-02-15 08:02:55.168419157,"[(195, 2)]",2,2023-02-15 08:52:55.168419157
Cust00019,2023-02-15 08:03:03.822074146,"[(324, 2)]",2,2023-02-15 09:53:03.822074146
Cust00020,2023-02-15 08:03:06.620420573,"[(272, 4)]",4,2023-02-15 08:36:06.620420573
Cust00021,2023-02-15 08:03:09.798856522,"[(143, 4), (78, 1), (53, 2)]",7,2023-02-15 09:42:09.798856522
Cust00022,2023-02-15 08:03:25.335469008,"[(291, 1), (18, 2), (101, 1), (117, 1)]",5,2023-02-15 09:37:25.335469008
Cust00023,2023-02-15 08:03:30.655641602,"[(206, 2)]",2,2023-02-15 09:36:30.655641602
