Order ID,Created Time,Order List,Total Item,Due Time
Cust00001,2023-02-15 08:00:04.791861558,"[(26, 2), (112, 3), (227, 2), (7, 2)]",9,2023-02-15 09:42:04.791861558
Cust00002,2023-02-15 08:00:14.819193906,"[(11, 1)]",1,2023-02-15 08:43:14.819193906
Cust00003,2023-02-15 08:00:15.022913543,"[(153, 4), (67, 2), (297, 4), (166, 1), (73, 2), (1, 2)]",15,2023-02-15 09:54:15.022913543
Cust00004,2023-02-15 08:00:15.478357156,"[(154, 4), (58, 3)]",7,2023-02-15 08:39:15.478357156
Cust00005,2023-02-15 08:00:18.707885547,"[(202, 3)]",3,2023-02-15 09:26:18.707885547
Cust00006,2023-02-15 08:00:20.778358559,"[(76, 3), (69, 1)]",4,2023-02-15 09:59:20.778358559
Cust00007,2023-02-15 08:00:48.870621837,"[(301, 1), (14, 2)]",3,2023-02-15 09:22:48.870621837
Cust00008,2023-02-15 08:01:14.134833526,"[(271, 7)]",7,2023-02-15 08:59:14.134833526
Cust00009,2023-02-15 08:01:32.307968502,"[(296, 3), (239, 3), (132, 3)]",9,2023-02-15 08:37:32.307968502
Cust00010,2023-02-15 08:01:40.526772059,"[(98, 2), (77, 9)]",11,2023-02-15 09:21:40.526772059
Cust00011,2023-02-15 08:01:59.558113254,"[(198, 4), (84, 1), (18, 1), (366, 2)]",8,2023-02-15 09:22:59.558113254
Cust00012,2023-02-15 08:02:24.623551474,"[(370, 1), (132, 1)]",2,2023-02-15 08:53:24.623551474
Cust00013,2023-02-15 08:02:40.395869269,"[(222, 4)]",4,2023-02-15 08:50:40.395869269
Cust00014,2023-02-15 08:02:53.394798412,"[(150, 2), (119, 4)]",6,2023-02-15 08:49:53.394798412
Cust00015,2023-02-15 08:02:58.546218400,"[(226, 1), (32, 1), (203, 1), (73, 1)]",4,2023-02-15 08:36:58.546218400
Cust00016,2023-02-15 08:03:30.350227811,"[(118, 2), (43, 2)]",4,2023-02-15 09:14:30.350227811
Cust00017,2023-02-15 08:03:33.474035397,"[(125, 2), (35, 1)]",3,2023-02-15 08:46:33.474035397
Cust00018,2023-02-15 08:03:42.351063624,"[(197, 1)]",1,2023-02-15 09:07:42.351063624
Cust00019,2023-02-15 08:03:57.204057559,"[(304, 2)]",2,2023-02-15 09:42:57.204057559
Cust00020,2023-02-15 08:03:57.637840092,"[(106, 3), (111, 1), (53, 1), (121, 2)]",7,2023-02-15 09:35:57.637840092
Cust00021,2023-02-15 08:04:17.100571240,"[(2, 2), (335, 3)]",5,2023-02-15 10:01:17.100571240
Cust00022,2023-02-15 08:04:20.651694541,"[(58, 3), (310, 4), (34, 3)]",10,2023-02-15 08:47:20.651694541
Cust00023,2023-02-15 08:04:24.001518639,"[(314, 2), (16, 4)]",6,2023-02-15 08:58:24.001518639
Cust00024,2023-02-15 08:04:25.763899872,"[(128, 2), (290, 4), (72, 2), (154, 2)]",10,2023-02-15 09:30:25.763899872
Cust00025,2023-02-15 08:04:46.340970727,"[(44, 3), (6, 2), (46, 4), (347, 1)]",10,2023-02-15 09:01:46.340970727
Cust00026,2023-02-15 08:04:50.384401619,"[(79, 4), (76, 1), (242, 1)]",6,2023-02-15 09:44:50.384401619
Cust00027,2023-02-15 08:04:55.529667330,"[(231, 1), (46, 2)]",3,2023-02-15 09:21:55.529667330
Cust00028,2023-02-15 08:05:02.700327894,"[(11, 3)]",3,2023-02-15 09:13:02.700327894
Cust00029,2023-02-15 08:05:08.520719990,"[(353, 3), (143, 1), (341, 1)]",5,2023-02-15 09:43:08.520719990
Cust00030,2023-02-15 08:05:08.592480364,"[(37, 2), (197, 3), (29, 2), (148, 2)]",9,2023-02-15 08:46:08.592480364
Cust00031,2023-02-15 08:05:09.279272254,"[(124, 2)]",2,2023-02-15 09:53:09.279272254
Cust00032,2023-02-15 08:05:35.142623664,"[(119, 1), (152, 1)]",2,2023-02-15 09:47:35.142623664
Cust00033,2023-02-15 08:05:41.727892098,"[(101, 4), (90, 3), (109, 2), (114, 2), (142, 10), (173, 2), (33, 4), (240, 4), (242, 3), (133, 2)]",36,2023-02-15 08:42:41.727892098
Cust00034,2023-02-15 08:05:41.799394589,"[(212, 1), (148, 1)]",2,2023-02-15 08:46:41.799394589
Cust00035,2023-02-15 08:05:48.096741403,"[(182, 2), (209, 1), (179, 1)]",4,2023-02-15 09:52:48.096741403
Cust00036,2023-02-15 08:05:48.787638280,"[(103, 3)]",3,2023-02-15 09:37:48.787638280
Cust00037,2023-02-15 08:06:08.756296325,"[(101, 3), (181, 3)]",6,2023-02-15 09:25:08.756296325
Cust00038,2023-02-15 08:06:27.769710325,"[(234, 1), (123, 1), (139, 2)]",4,2023-02-15 09:41:27.769710325
Cust00039,2023-02-15 08:06:30.955911538,"[(87, 1), (141, 9), (76, 2), (20, 1), (109, 1), (349, 3), (200, 2), (188, 2), (30, 4), (39, 3)]",28,2023-02-15 09:43:30.955911538
Cust00040,2023-02-15 08:06:33.938822337,"[(115, 1), (154, 4), (40, 2)]",7,2023-02-15 09:45:33.938822337
Cust00041,2023-02-15 08:06:37.308082647,"[(203, 2), (14, 2), (221, 1), (132, 3)]",8,2023-02-15 09:56:37.308082647
Cust00042,2023-02-15 08:06:47.970857305,"[(270, 3), (190, 4)]",7,2023-02-15 09:07:47.970857305
Cust00043,2023-02-15 08:07:07.803739029,"[(9, 2), (79, 3), (58, 2), (66, 1), (33, 6), (362, 4)]",18,2023-02-15 09:30:07.803739029
Cust00044,2023-02-15 08:07:09.971996971,"[(42, 3), (105, 3)]",6,2023-02-15 09:35:09.971996971
Cust00045,2023-02-15 08:07:38.133613522,"[(91, 2)]",2,2023-02-15 10:05:38.133613522
Cust00046,2023-02-15 08:07:42.841883610,"[(203, 3), (344, 3), (67, 1), (162, 4)]",11,2023-02-15 08:55:42.841883610
Cust00047,2023-02-15 08:08:14.422525558,"[(80, 2), (24, 4), (196, 3)]",9,2023-02-15 09:29:14.422525558
Cust00048,2023-02-15 08:08:17.126262966,"[(252, 2), (123, 1)]",3,2023-02-15 09:31:17.126262966
Cust00049,2023-02-15 08:08:20.909037759,"[(195, 1)]",1,2023-02-15 09:14:20.909037759
Cust00050,2023-02-15 08:08:24.117873481,"[(294, 2)]",2,2023-02-15 09:38:24.117873481
Cust00051,2023-02-15 08:08:28.073112391,"[(119, 3)]",3,2023-02-15 09:00:28.073112391
Cust00052,2023-02-15 08:08:32.819179032,"[(112, 4), (33, 1)]",5,2023-02-15 09:42:32.819179032
Cust00053,2023-02-15 08:08:48.830559747,"[(10, 2), (5, 1), (42, 1), (167, 1)]",5,2023-02-15 10:04:48.830559747
Cust00054,2023-02-15 08:08:50.239184023,"[(128, 4), (185, 1)]",5,2023-02-15 09:50:50.239184023
Cust00055,2023-02-15 08:08:59.832126263,"[(2, 4), (189, 2), (1, 1), (184, 2), (45, 2), (22, 1), (79, 10), (19, 1), (105, 4), (66, 3)]",30,2023-02-15 10:05:59.832126263
Cust00056,2023-02-15 08:09:14.302935950,"[(88, 2), (49, 3)]",5,2023-02-15 09:36:14.302935950
Cust00057,2023-02-15 08:09:17.102830222,"[(28, 7)]",7,2023-02-15 08:56:17.102830222
Cust00058,2023-02-15 08:09:20.110059389,"[(42, 4), (105, 1)]",5,2023-02-15 09:30:20.110059389
Cust00059,2023-02-15 08:09:45.135749238,"[(166, 4), (276, 3)]",7,2023-02-15 09:44:45.135749238
Cust00060,2023-02-15 08:09:45.598801936,"[(105, 1), (265, 2), (31, 3)]",6,2023-02-15 08:49:45.598801936
Cust00061,2023-02-15 08:09:51.063515274,"[(141, 2), (69, 1), (48, 3)]",6,2023-02-15 09:24:51.063515274
Cust00062,2023-02-15 08:09:57.390875176,"[(12, 2)]",2,2023-02-15 09:46:57.390875176
Cust00063,2023-02-15 08:10:04.910607937,"[(72, 2), (212, 2), (117, 2), (180, 1)]",7,2023-02-15 09:24:04.910607937
Cust00064,2023-02-15 08:10:29.000144452,"[(25, 3)]",3,2023-02-15 09:53:29.000144452
Cust00065,2023-02-15 08:10:55.108405581,"[(77, 2), (33, 7), (35, 4), (29, 4), (287, 3), (174, 2), (64, 4)]",26,2023-02-15 10:10:55.108405581
Cust00066,2023-02-15 08:10:59.568428731,"[(265, 4)]",4,2023-02-15 10:06:59.568428731
Cust00067,2023-02-15 08:11:16.918079188,"[(41, 2), (141, 2)]",4,2023-02-15 09:19:16.918079188
