Order ID,Created Time,Order List,Total Item,Due Time
Cust00001,2023-02-15 08:00:48.844818930,"[(65, 1), (47, 3)]",4,2023-02-15 09:35:48.844818930
Cust00002,2023-02-15 08:01:41.011012418,"[(17, 2), (60, 1)]",3,2023-02-15 08:31:41.011012418
Cust00003,2023-02-15 08:02:20.954737408,"[(118, 2), (36, 1), (240, 3), (173, 2)]",8,2023-02-15 09:42:20.954737408
Cust00004,2023-02-15 08:03:24.666628402,"[(62, 3), (38, 1), (11, 1)]",5,2023-02-15 09:59:24.666628402
Cust00005,2023-02-15 08:04:00.531176145,"[(104, 2), (33, 2)]",4,2023-02-15 10:03:00.531176145
Cust00006,2023-02-15 08:04:35.639835712,"[(130, 3)]",3,2023-02-15 09:01:35.639835712
Cust00007,2023-02-15 08:05:07.727598564,"[(205, 2), (188, 3)]",5,2023-02-15 09:52:07.727598564
Cust00008,2023-02-15 08:06:22.956757346,"[(119, 4), (80, 3), (38, 2)]",9,2023-02-15 09:37:22.956757346
Cust00009,2023-02-15 08:06:41.727378372,"[(12, 1), (27, 2)]",3,2023-02-15 08:43:41.727378372
Cust00010,2023-02-15 08:07:03.143680964,"[(29, 2)]",2,2023-02-15 08:40:03.143680964
Cust00011,2023-02-15 08:08:06.870436901,"[(5, 2)]",2,2023-02-15 09:50:06.870436901
Cust00012,2023-02-15 08:08:50.766118793,"[(138, 3), (34, 1), (12, 2), (380, 1)]",7,2023-02-15 09:08:50.766118793
Cust00013,2023-02-15 08:09:21.022121909,"[(181, 1), (221, 1)]",2,2023-02-15 10:01:21.022121909
Cust00014,2023-02-15 08:09:25.220947243,"[(39, 3), (32, 2), (347, 1)]",6,2023-02-15 10:06:25.220947243
Cust00015,2023-02-15 08:09:32.151585717,"[(289, 1), (66, 4), (19, 2), (6, 1), (111, 2), (135, 2)]",12,2023-02-15 09:06:32.151585717
Cust00016,2023-02-15 08:09:54.831471736,"[(188, 2), (1, 1), (29, 2)]",5,2023-02-15 08:59:54.831471736
Cust00017,2023-02-15 08:10:37.290294213,"[(18, 1), (184, 2)]",3,2023-02-15 09:08:37.290294213
Cust00018,2023-02-15 08:10:56.396439771,"[(232, 1), (26, 1), (32, 3)]",5,2023-02-15 09:16:56.396439771
Cust00019,2023-02-15 08:13:22.373007320,"[(88, 3)]",3,2023-02-15 09:16:22.373007320
Cust00020,2023-02-15 08:13:35.763923973,"[(2, 2), (290, 3)]",5,2023-02-15 08:53:35.763923973
Cust00021,2023-02-15 08:15:01.861471784,"[(94, 2), (4, 2)]",4,2023-02-15 09:57:01.861471784
Cust00022,2023-02-15 08:15:04.053431295,"[(79, 2), (65, 3), (95, 1)]",6,2023-02-15 09:08:04.053431295
Cust00023,2023-02-15 08:15:24.729656369,"[(188, 1), (51, 1), (268, 2)]",4,2023-02-15 10:10:24.729656369
Cust00024,2023-02-15 08:16:24.065243833,"[(85, 2), (3, 4), (13, 1), (33, 3)]",10,2023-02-15 09:54:24.065243833
Cust00025,2023-02-15 08:17:27.276744398,"[(141, 2), (77, 1), (11, 2), (7, 3)]",8,2023-02-15 10:16:27.276744398
Cust00026,2023-02-15 08:18:02.298897705,"[(275, 1)]",1,2023-02-15 10:14:02.298897705
Cust00027,2023-02-15 08:19:06.221815385,"[(90, 1), (2, 4), (30, 4)]",9,2023-02-15 08:52:06.221815385
Cust00028,2023-02-15 08:19:31.836178165,"[(87, 9), (3, 1), (55, 1), (139, 3), (36, 3), (72, 3)]",20,2023-02-15 09:46:31.836178165
Cust00029,2023-02-15 08:20:32.372803671,"[(85, 3)]",3,2023-02-15 09:19:32.372803671
Cust00030,2023-02-15 08:21:01.044285113,"[(165, 9), (105, 1), (9, 4)]",14,2023-02-15 09:11:01.044285113
Cust00031,2023-02-15 08:21:24.906234330,"[(77, 3), (60, 3), (205, 4)]",10,2023-02-15 10:06:24.906234330
Cust00032,2023-02-15 08:21:36.397096042,"[(140, 3), (135, 10), (247, 4), (194, 2)]",19,2023-02-15 09:03:36.397096042
Cust00033,2023-02-15 08:21:38.481523014,"[(140, 4)]",4,2023-02-15 08:55:38.481523014
Cust00034,2023-02-15 08:21:55.603592702,"[(37, 2), (77, 1)]",3,2023-02-15 09:38:55.603592702
Cust00035,2023-02-15 08:22:34.914603839,"[(256, 2), (74, 3), (154, 1), (240, 1)]",7,2023-02-15 10:05:34.914603839
Cust00036,2023-02-15 08:23:22.522718276,"[(172, 2), (68, 3)]",5,2023-02-15 09:58:22.522718276
Cust00037,2023-02-15 08:23:51.971498123,"[(167, 2)]",2,2023-02-15 10:09:51.971498123
Cust00038,2023-02-15 08:24:42.111117926,"[(51, 1), (242, 1), (38, 3), (13, 3)]",8,2023-02-15 10:03:42.111117926
Cust00039,2023-02-15 08:24:48.246270086,"[(229, 1), (221, 1), (141, 3), (197, 2)]",7,2023-02-15 09:43:48.246270086
Cust00040,2023-02-15 08:25:19.472944189,"[(14, 4)]",4,2023-02-15 09:02:19.472944189
Cust00041,2023-02-15 08:25:46.233219888,"[(243, 2), (66, 1), (128, 2), (302, 3)]",8,2023-02-15 09:26:46.233219888
Cust00042,2023-02-15 08:26:09.411091491,"[(52, 2), (63, 1), (3, 2), (346, 3)]",8,2023-02-15 09:26:09.411091491
Cust00043,2023-02-15 08:26:57.314025982,"[(168, 1), (68, 1)]",2,2023-02-15 10:21:57.314025982
Cust00044,2023-02-15 08:27:40.877992829,"[(200, 3)]",3,2023-02-15 09:59:40.877992829
Cust00045,2023-02-15 08:27:46.135876028,"[(146, 6), (108, 4)]",10,2023-02-15 09:24:46.135876028
Cust00046,2023-02-15 08:27:54.941805851,"[(147, 8)]",8,2023-02-15 08:58:54.941805851
Cust00047,2023-02-15 08:28:53.321950594,"[(94, 4), (155, 3)]",7,2023-02-15 09:15:53.321950594
Cust00048,2023-02-15 08:29:41.849078096,"[(135, 1)]",1,2023-02-15 09:20:41.849078096
Cust00049,2023-02-15 08:29:50.840422459,"[(117, 4)]",4,2023-02-15 09:34:50.840422459
