Order ID,Created Time,Order List,Total Item,Due Time
Cust00001,2023-02-15 08:03:56.597113629,"[(101, 4), (281, 3), (181, 4)]",11,2023-02-15 08:49:56.597113629
Cust00002,2023-02-15 08:04:09.625344191,"[(150, 1), (73, 3), (201, 1)]",5,2023-02-15 09:53:09.625344191
Cust00003,2023-02-15 08:04:09.788862948,"[(210, 2), (34, 1), (178, 4), (33, 1)]",8,2023-02-15 08:42:09.788862948
Cust00004,2023-02-15 08:04:34.644345513,"[(79, 3), (171, 3), (117, 2), (7, 2)]",10,2023-02-15 09:17:34.644345513
Cust00005,2023-02-15 08:04:53.934100784,"[(70, 3), (367, 1), (76, 2), (174, 2), (44, 2), (227, 2), (232, 2), (102, 1)]",15,2023-02-15 08:43:53.934100784
Cust00006,2023-02-15 08:05:07.298767496,"[(30, 1)]",1,2023-02-15 09:12:07.298767496
Cust00007,2023-02-15 08:05:19.365859212,"[(92, 2), (131, 2), (19, 3), (39, 3)]",10,2023-02-15 09:42:19.365859212
Cust00008,2023-02-15 08:05:35.419070879,"[(79, 3), (170, 5), (26, 2), (109, 1), (353, 4), (167, 2), (34, 3), (67, 2), (71, 4)]",26,2023-02-15 09:05:35.419070879
Cust00009,2023-02-15 08:05:39.690445503,"[(147, 4), (163, 3)]",7,2023-02-15 09:32:39.690445503
Cust00010,2023-02-15 08:05:57.795564194,"[(200, 2), (123, 1), (60, 3), (67, 1)]",7,2023-02-15 09:16:57.795564194
Cust00011,2023-02-15 08:06:12.082530680,"[(277, 1)]",1,2023-02-15 09:51:12.082530680
Cust00012,2023-02-15 08:06:16.674906453,"[(96, 1)]",1,2023-02-15 09:57:16.674906453
Cust00013,2023-02-15 08:06:33.325797926,"[(98, 4), (104, 1), (112, 4), (324, 3), (16, 2), (3, 3)]",17,2023-02-15 08:55:33.325797926
Cust00014,2023-02-15 08:06:44.702086681,"[(47, 4), (56, 1), (118, 1), (58, 4)]",10,2023-02-15 08:57:44.702086681
