Order ID,Created Time,Order List,Total Item,Due Time
Cust00001,2023-02-15 08:02:42.642676771,"[(96, 2), (161, 5), (197, 3), (236, 1)]",11,2023-02-15 08:58:42.642676771
Cust00002,2023-02-15 08:04:36.394017428,"[(56, 2)]",2,2023-02-15 09:13:36.394017428
Cust00003,2023-02-15 08:07:52.229126351,"[(244, 1)]",1,2023-02-15 09:24:52.229126351
Cust00004,2023-02-15 08:11:03.629133684,"[(197, 1), (236, 1)]",2,2023-02-15 09:38:03.629133684
Cust00005,2023-02-15 08:15:21.596271053,"[(60, 3), (132, 2)]",5,2023-02-15 09:47:21.596271053
Cust00006,2023-02-15 08:15:40.153417071,"[(11, 1), (74, 2), (82, 1), (186, 4)]",8,2023-02-15 09:12:40.153417071
Cust00007,2023-02-15 08:17:58.987689034,"[(13, 3), (66, 1), (108, 3), (95, 2)]",9,2023-02-15 09:57:58.987689034
Cust00008,2023-02-15 08:18:15.052221064,"[(3, 2)]",2,2023-02-15 08:56:15.052221064
Cust00009,2023-02-15 08:19:01.717806457,"[(155, 3), (57, 2), (30, 1), (125, 1)]",7,2023-02-15 09:42:01.717806457
Cust00010,2023-02-15 08:19:38.771897514,"[(168, 4), (30, 1), (74, 2)]",7,2023-02-15 09:36:38.771897514
Cust00011,2023-02-15 08:21:42.893352325,"[(2, 2), (346, 4)]",6,2023-02-15 09:29:42.893352325
Cust00012,2023-02-15 08:25:03.764852557,"[(107, 1)]",1,2023-02-15 09:28:03.764852557
Cust00013,2023-02-15 08:26:14.076465619,"[(61, 1)]",1,2023-02-15 10:24:14.076465619
Cust00014,2023-02-15 08:28:41.352032550,"[(73, 2), (371, 1), (3, 2)]",5,2023-02-15 09:18:41.352032550
Cust00015,2023-02-15 08:29:12.808682958,"[(42, 4), (79, 4)]",8,2023-02-15 09:35:12.808682958
Cust00016,2023-02-15 08:35:33.234732100,"[(86, 3), (25, 2), (28, 2), (196, 2)]",9,2023-02-15 10:31:33.234732100
Cust00017,2023-02-15 08:37:34.666415281,"[(45, 1), (99, 1), (41, 3), (322, 1)]",6,2023-02-15 10:37:34.666415281
Cust00018,2023-02-15 08:45:20.268558657,"[(79, 2), (254, 4), (148, 3)]",9,2023-02-15 10:08:20.268558657
Cust00019,2023-02-15 08:48:28.512433353,"[(71, 2)]",2,2023-02-15 10:40:28.512433353
Cust00020,2023-02-15 08:50:39.568209713,"[(129, 2), (94, 3)]",5,2023-02-15 09:21:39.568209713
Cust00021,2023-02-15 08:52:37.803330801,"[(218, 4)]",4,2023-02-15 09:54:37.803330801
Cust00022,2023-02-15 08:52:59.369824550,"[(3, 1), (288, 3), (296, 4), (63, 1)]",9,2023-02-15 09:24:59.369824550
Cust00023,2023-02-15 08:54:46.510868423,"[(10, 4)]",4,2023-02-15 10:31:46.510868423
Cust00024,2023-02-15 08:58:52.116454216,"[(44, 2), (226, 3)]",5,2023-02-15 09:54:52.116454216
Cust00025,2023-02-15 09:01:59.784915394,"[(164, 1), (21, 2), (14, 3), (220, 4), (198, 1), (141, 2)]",13,2023-02-15 10:57:59.784915394
Cust00026,2023-02-15 09:02:20.386556497,"[(115, 1)]",1,2023-02-15 10:41:20.386556497
Cust00027,2023-02-15 09:03:26.518498145,"[(233, 1), (175, 1)]",2,2023-02-15 09:44:26.518498145
Cust00028,2023-02-15 09:05:02.659112524,"[(300, 2)]",2,2023-02-15 09:39:02.659112524
Cust00029,2023-02-15 09:06:29.040725420,"[(17, 2)]",2,2023-02-15 10:41:29.040725420
Cust00030,2023-02-15 09:07:54.434507855,"[(118, 5)]",5,2023-02-15 10:03:54.434507855
Cust00031,2023-02-15 09:09:30.107120394,"[(125, 7), (200, 2), (18, 1), (45, 2), (56, 1)]",13,2023-02-15 10:38:30.107120394
Cust00032,2023-02-15 09:10:02.693579036,"[(24, 4), (119, 1), (61, 1), (129, 1)]",7,2023-02-15 10:14:02.693579036
Cust00033,2023-02-15 09:11:12.077002402,"[(77, 2), (295, 1)]",3,2023-02-15 10:21:12.077002402
Cust00034,2023-02-15 09:16:45.697211412,"[(48, 4), (45, 1), (124, 3), (185, 2)]",10,2023-02-15 11:15:45.697211412
Cust00035,2023-02-15 09:18:20.142561425,"[(303, 2)]",2,2023-02-15 10:50:20.142561425
Cust00036,2023-02-15 09:18:40.012920359,"[(148, 1), (56, 9), (84, 2), (80, 4)]",16,2023-02-15 10:01:40.012920359
Cust00037,2023-02-15 09:20:25.652937553,"[(97, 3)]",3,2023-02-15 10:13:25.652937553
Cust00038,2023-02-15 09:20:41.247262107,"[(200, 8)]",8,2023-02-15 09:58:41.247262107
Cust00039,2023-02-15 09:22:39.503132590,"[(57, 2), (125, 2), (58, 2), (194, 1)]",7,2023-02-15 11:03:39.503132590
Cust00040,2023-02-15 09:26:40.797949385,"[(37, 2), (139, 1)]",3,2023-02-15 10:51:40.797949385
Cust00041,2023-02-15 09:26:45.500891323,"[(106, 3)]",3,2023-02-15 11:18:45.500891323
Cust00042,2023-02-15 09:27:40.896078317,"[(67, 4), (220, 4), (380, 3)]",11,2023-02-15 11:00:40.896078317
